age_ka,d18Ow_IV,SL_m
39543,-0.978,65.1
39542,-0.978,65.1
39541,-0.978,65.1
39540,-0.978,65.1
39539,-0.978,65.1
39538,-0.978,65.1
39537,-0.978,65.1
39536,-0.978,65.1
39535,-0.978,65.1
39534,-0.978,65.1
39533,-0.978,65.1
39532,-0.978,65.1
39531,-0.978,65.1
39530,-0.978,65.1
39529,-0.978,65.1
39528,-0.978,65.1
39527,-0.978,65.1
39526,-0.978,65.1
39525,-0.978,65.1
39524,-0.978,65.1
39523,-0.978,65.1
39522,-0.978,65.1
39521,-0.978,65.1
39520,-0.978,65.1
39519,-0.978,65.1
39518,-0.978,65.1
39517,-0.978,65.1
39516,-0.978,65.1
39515,-0.978,65.1
39514,-0.978,65.1
39513,-0.978,65.1
39512,-0.978,65.1
39511,-0.978,65.1
39510,-0.978,65.1
39509,-0.978,65.1
39508,-0.978,65.1
39507,-0.978,65.1
39506,-0.978,65.1
39505,-0.978,65.1
39504,-0.978,65.1
39503,-0.978,65.1
39502,-0.978,65.1
39501,-0.978,65.1
39500,-0.978,65.1
39499,-0.978,65.1
39498,-0.978,65.1
39497,-0.978,65.1
39496,-0.978,65.1
39495,-0.978,65.1
39494,-0.978,65.1
39493,-0.978,65.1
39492,-0.978,65.1
39491,-0.978,65.1
39490,-0.978,65.1
39489,-0.978,65.1
39488,-0.978,65.1
39487,-0.978,65.1
39486,-0.978,65.1
39485,-0.978,65.1
39484,-0.978,65.1
39483,-0.978,65.1
39482,-0.978,65.1
39481,-0.978,65.1
39480,-0.978,65.1
39479,-0.978,65.1
39478,-0.978,65.1
39477,-0.978,65.1
39476,-0.978,65.1
39475,-0.978,65.1
39474,-0.978,65.1
39473,-0.978,65.1
39472,-0.978,65.1
39471,-0.978,65.1
39470,-0.978,65.1
39469,-0.978,65.1
39468,-0.978,65.1
39467,-0.978,65.1
39466,-0.978,65.1
39465,-0.978,65.1
39464,-0.978,65.1
39463,-0.978,65.1
39462,-0.978,65.1
39461,-0.978,65.1
39460,-0.978,65.1
39459,-0.978,65.1
39458,-0.978,65.1
39457,-0.978,65.1
39456,-0.978,65.1
39455,-0.978,65.1
39454,-0.978,65.1
39453,-0.978,65.1
39452,-0.978,65.1
39451,-0.978,65.1
39450,-0.978,65.1
39449,-0.978,65.1
39448,-0.978,65.1
39447,-0.978,65.1
39446,-0.978,65.1
39445,-0.978,65.1
39444,-0.978,65.1
39443,-0.978,65.1
39442,-0.978,65.1
39441,-0.978,65.1
39440,-0.978,65.1
39439,-0.978,65.1
39438,-0.978,65.1
39437,-0.978,65.1
39436,-0.978,65.1
39435,-0.978,65.1
39434,-0.978,65.1
39433,-0.978,65.1
39432,-0.978,65.1
39431,-0.978,65.1
39430,-0.978,65.1
39429,-0.978,65.1
39428,-0.978,65.1
39427,-0.978,65.1
39426,-0.978,65.1
39425,-0.978,65.1
39424,-0.978,65.1
39423,-0.978,65.1
39422,-0.978,65.1
39421,-0.978,65.1
39420,-0.978,65.1
39419,-0.978,65.1
39418,-0.978,65.1
39417,-0.978,65.1
39416,-0.978,65.1
39415,-0.978,65.1
39414,-0.978,65.1
39413,-0.978,65.1
39412,-0.978,65.1
39411,-0.978,65.1
39410,-0.978,65.1
39409,-0.978,65.1
39408,-0.978,65.1
39407,-0.978,65.1
39406,-0.978,65.1
39405,-0.978,65.1
39404,-0.978,65.1
39403,-0.978,65.1
39402,-0.978,65.1
39401,-0.978,65.1
39400,-0.978,65.1
39399,-0.978,65.1
39398,-0.978,65.1
39397,-0.978,65.1
39396,-0.978,65.1
39395,-0.978,65.1
39394,-0.978,65.1
39393,-0.978,65.1
39392,-0.978,65.1
39391,-0.978,65.1
39390,-0.978,65.1
39389,-0.978,65.1
39388,-0.978,65.1
39387,-0.978,65.1
39386,-0.978,65.1
39385,-0.978,65.1
39384,-0.978,65.1
39383,-0.978,65.1
39382,-0.978,65.1
39381,-0.978,65.1
39380,-0.978,65.1
39379,-0.978,65.1
39378,-0.978,65.1
39377,-0.978,65.1
39376,-0.978,65.1
39375,-0.978,65.1
39374,-0.978,65.1
39373,-0.978,65.1
39372,-0.978,65.1
39371,-0.978,65.1
39370,-0.978,65.1
39369,-0.978,65.1
39368,-0.978,65.1
39367,-0.978,65.1
39366,-0.978,65.1
39365,-0.978,65.06
39364,-0.978,65.019
39363,-0.978,64.991
39362,-0.978,64.968
39361,-0.978,64.945
39360,-0.978,64.922
39359,-0.978,64.923
39358,-0.978,64.929
39357,-0.978,64.935
39356,-0.978,64.941
39355,-0.978,64.984
39354,-0.978,65.032
39353,-0.978,65.08
39352,-0.978,65.1
39351,-0.978,65.1
39350,-0.978,65.1
39349,-0.978,65.1
39348,-0.978,65.1
39347,-0.978,65.1
39346,-0.978,65.1
39345,-0.978,65.1
39344,-0.978,65.1
39343,-0.978,65.1
39342,-0.978,65.1
39341,-0.978,65.1
39340,-0.978,65.1
39339,-0.978,65.08
39338,-0.978,64.996
39337,-0.978,64.912
39336,-0.978,64.838
39335,-0.978,64.826
39334,-0.978,64.813
39333,-0.978,64.8
39332,-0.978,64.81
39331,-0.978,64.909
39330,-0.978,65.009
39329,-0.978,65.1
39328,-0.978,65.1
39327,-0.978,65.1
39326,-0.978,65.1
39325,-0.978,65.1
39324,-0.978,65.1
39323,-0.978,65.1
39322,-0.978,65.1
39321,-0.978,65.1
39320,-0.978,65.1
39319,-0.978,65.1
39318,-0.978,65.1
39317,-0.978,65.1
39316,-0.978,65.1
39315,-0.978,65.1
39314,-0.978,65.1
39313,-0.978,65.1
39312,-0.978,65.1
39311,-0.978,65.1
39310,-0.978,65.038
39309,-0.978,64.95
39308,-0.978,64.872
39307,-0.978,64.803
39306,-0.978,64.734
39305,-0.978,64.665
39304,-0.978,64.593
39303,-0.978,64.519
39302,-0.978,64.445
39301,-0.978,64.414
39300,-0.978,64.408
39299,-0.978,64.401
39298,-0.978,64.394
39297,-0.978,64.431
39296,-0.978,64.487
39295,-0.978,64.543
39294,-0.978,64.599
39293,-0.978,64.655
39292,-0.978,64.739
39291,-0.978,64.831
39290,-0.978,64.923
39289,-0.978,65.015
39288,-0.978,65.071
39287,-0.978,65.1
39286,-0.978,65.1
39285,-0.978,65.1
39284,-0.978,65.1
39283,-0.978,65.1
39282,-0.978,65.086
39281,-0.978,65.03
39280,-0.978,64.971
39279,-0.978,64.913
39278,-0.978,64.855
39277,-0.978,64.823
39276,-0.978,64.792
39275,-0.978,64.761
39274,-0.978,64.729
39273,-0.978,64.699
